project,best-none-greedy_reduced_tests,time_best-none-greedy_track,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_track,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_track,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_track,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_track,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_track,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_track,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_track,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
AAA-AA-basic-tools,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0,8,27.763,15.496,0
ChannelFinder-javaCFClient,ERROR: Unable to download dependencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GreenButtonAlliance-OpenESPI-ThirdParty-java,10,21.823,1.824,0,9,21.228,1.845,0,9,20.982,1.831,0,9,21.203,1.848,0,9,21.078,1.858,0,9,21.078,1.858,0,9,20.982,1.831,0,9,21.078,1.858,0
Grundlefleck-ASM-NonClassloadingExtensions,11,106.348,23.64,0,11,109.233,23.974,0,11,109.017,38.363,0,11,110.057,23.574,0,11,108.891,23.753,0,11,110.057,23.574,0,11,109.017,38.363,0,11,110.057,23.574,0
ITArray-automotion-java,25,43.395,4.025,0,25,43.634,4.011,0,25,43.594,4.04,0,25,43.301,4.05,0,25,44.561,4.049,0,25,42.762,4.036,0,25,43.594,4.04,0,25,43.342,4.039,0
JetBrains-jetCheck,16,26.659,2.109,2,16,26.659,2.109,2,16,26.572,2.098,2,16,26.783,2.205,2,16,26.612,2.209,2,16,26.612,2.209,2,16,26.572,2.098,2,16,26.612,2.209,2
LiveRamp-HyperMinHash-java,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1,2,13.042,85.408,1
OWASP-url-classifier,26,120.328,2.019,120,26,119.578,2.004,9,26,120.227,2.023,9,26,118.216,2.04,9,26,119.044,2.024,9,26,119.984,2.054,9,26,120.227,2.023,9,26,119.984,2.054,9
RUB-NDS-BurpSSOExtension,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0,3,6.392,1.42,0
RokLenarcic-AhoCorasick,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0,2,4.879,109.703,0
StarlangSoftware-TurkishMorphologicalAnalysis,26,286.154,28.661,0,26,286.154,28.661,0,26,281.629,28.521,0,26,284.921,28.395,0,26,284.921,28.395,0,26,284.921,28.395,0,26,281.629,28.521,0,26,284.921,28.395,0
StarlangSoftware-TurkishPropBank,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0,6,103.339,1.634,0
StarlangSoftware-TurkishSentiNet,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0,3,149.244,2.038,0
albfernandez-javadbf,63,21.385,4.428,2,62,21.326,4.394,2,62,21.36,4.412,2,62,21.308,4.378,2,63,21.313,4.412,2,62,21.355,4.413,2,62,21.36,4.412,2,62,21.355,4.413,2
alexheretic-dynamics,52,17.387,1.926,0,51,17.188,1.916,0,51,17.219,1.897,0,51,17.344,1.931,0,52,16.857,1.906,0,51,17.168,1.931,0,51,17.219,1.897,0,51,17.1,1.923,0
bvolpato-inutils4j,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2,17,7.783,1.694,2
cheese10yun-spring-jpa-best-practices,8,101.554,6.908,7,8,101.554,6.908,7,8,101.554,6.908,7,8,106.724,6.862,7,8,106.818,6.909,7,8,106.818,6.909,7,8,105.795,6.951,7,8,106.818,6.909,7
cowtowncoder-java-uuid-generator,22,160.647,1.868,0,22,164.368,1.91,0,22,170.695,1.891,0,22,167.942,1.87,0,22,162.781,1.903,0,22,162.781,1.903,0,22,170.695,1.891,0,22,163.624,1.924,0
dakusui-jcunit,15,34.582,10.034,1,15,34.582,10.034,1,15,33.49,9.709,1,15,33.49,9.709,1,15,33.49,9.709,1,15,33.49,9.709,1,15,33.49,9.709,1,15,33.49,9.709,1
danieldk-dictomaton,100,260.403,3.583,24,100,258.792,3.524,24,100,298.086,3.511,24,100,253.564,3.517,24,100,262.442,6.703,24,100,293.44,6.375,24,100,292.336,5.548,24,100,261.774,3.505,24
davidmoten-hilbert-curve,22,75.186,2.257,3,22,76.316,2.243,3,22,75.607,2.247,3,22,75.51,2.256,3,22,75.365,2.228,3,22,75.51,2.256,3,22,75.607,2.247,3,22,75.51,2.256,3
davidmoten-sparse-hilbert-index,30,13.875,3.115,2,30,13.967,3.154,2,30,14.999,2.752,2,30,14.999,2.752,2,30,13.982,3.124,2,30,13.857,3.144,2,30,14.999,2.752,2,30,13.905,3.111,2
dernasherbrezon-jradio,200,94.702,5.413,27,200,95.38,5.331,27,200,95.028,5.453,27,200,95.036,5.378,27,200,97.45,5.423,27,200,97.013,5.376,27,200,95.028,5.453,27,200,96.351,5.386,27
eightbitjim-cassette-nibbler,7,590.858,2.062,2,7,590.858,2.062,2,7,590.858,2.062,2,7,658.4,1.893,2,7,590.858,2.062,2,7,590.858,2.062,2,7,590.858,2.062,2,7,590.858,2.062,2
f-lab-edu-real-time-delivery-market,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0,4,76.152,2.025,0
f4b6a3-uuid-creator,54,22.698,4.773,0,54,22.386,4.91,0,54,22.386,4.91,0,54,22.252,4.92,0,54,22.58,5.001,0,54,21.701,4.962,0,54,22.386,4.91,0,54,21.786,4.935,0
flipkart-incubator-databuilderframework,24,244.162,41.999,3,23,222.987,58.228,3,23,216.649,55.443,3,23,242.031,38.229,3,23,222.987,58.228,3,23,216.649,55.443,3,23,216.649,55.443,3,23,222.987,58.228,3
fraunhoferfokus-Fuzzino,137,779.867,4.407,13,137,743.22,4.398,13,137,721.829,4.415,13,137,711.045,4.408,13,137,687.231,4.461,13,137,680.345,4.414,13,137,721.829,4.415,13,137,680.345,4.414,13
houbb-segment,9,54.288,2.324,1,9,54.47,2.319,1,9,54.111,2.321,1,9,54.482,2.35,1,9,53.509,2.349,1,9,55.345,2.37,1,9,54.111,2.321,1,9,55.345,2.37,1
houbb-sensitive-word,6,167.21,5.122,0,6,173.766,4.961,0,6,176.659,4.636,0,6,253.282,4.264,0,6,180.239,4.748,0,6,167.21,5.122,0,6,176.659,4.636,0,6,167.21,5.122,0
huaban-jieba-analysis,2,11.933,4.618,3,2,102.959,3.369,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3,2,11.933,4.618,3
indeedeng-vowpal-wabbit-java,6,7.066,92.329,0,6,7.066,92.329,0,6,7.066,92.329,0,6,5.438,89.959,0,6,5.438,89.959,0,6,5.438,89.959,0,6,7.066,92.329,0,6,5.438,89.959,0
jahlborn-jackcess,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30,180,853.371,23.385,30
lhncbc-metamaplite,16,16.297,1.839,0,16,16.297,1.839,0,16,16.218,1.816,0,16,16.232,1.863,0,16,16.232,1.863,0,16,16.232,1.863,0,16,16.218,1.816,0,16,16.232,1.863,0
mimno-Mallet,80,2164.349,10.767,13,80,2159.27,8.854,13,80,702.705,8.526,13,80,2390.496,8.561,13,80,2354.226,8.818,13,80,2364.334,8.764,13,80,702.705,8.526,13,80,1989.611,8.78,13
mocnik-science-geogrid,2,101.247,8.7,0,2,101.247,8.7,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0
mojohaus-aspectj-maven-plugin,11,67.55,2.403,9,11,68.582,2.368,9,11,68.582,2.368,9,11,67.55,2.403,9,11,67.55,2.403,9,11,67.55,2.403,9,11,68.582,2.368,9,11,67.55,2.403,9
mojohaus-license-maven-plugin,29,23.117,1.705,13,29,23.117,1.705,13,29,23.117,1.705,13,29,23.686,1.717,4,29,24.061,1.711,4,29,24.061,1.711,4,29,23.117,1.705,13,29,24.061,1.711,4
nonblocking-nonsnapshot-maven-plugin,26,10.965,1.52,11,26,10.965,1.52,11,26,10.965,1.52,11,26,10.947,1.519,2,26,10.947,1.519,2,26,10.947,1.519,2,26,10.965,1.52,11,26,10.947,1.519,2
octavian-h-time-series-math,ERROR: timedout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palindromicity-simple-syslog,15,54.441,1.636,3,15,32.482,1.765,3,15,36.333,1.775,3,15,36.937,1.77,3,15,15.193,1.921,3,15,15.193,1.921,3,15,36.333,1.775,3,15,15.193,1.921,3
pebbleblog-pebble,94,80.154,2.893,0,93,51.053,2.865,0,93,51.768,2.839,0,93,64.224,2.836,0,93,52.002,2.879,0,93,92.066,2.854,0,93,51.768,2.839,0,93,52.147,2.849,0
picturesafe-picturesafe-search,24,31.64,2.114,0,23,31.806,2.099,0,23,31.806,2.099,0,23,32.436,2.119,0,24,32.153,2.111,0,23,32.436,2.119,0,23,31.806,2.099,0,23,32.436,2.119,0
romix-java-concurrent-hash-trie-map,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16
rythmengine-rythmengine,222,89.871,5.856,3,222,101.309,3.791,3,222,101.309,3.791,3,222,101.004,2.738,3,222,89.871,5.856,3,222,89.871,5.856,3,222,101.309,3.791,3,222,89.871,5.856,3
sangupta-bloomfilter,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1
sbesada-java.math.expression.parser,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0
stefano81-dcpabe,19,45.097,5.144,29,19,45.097,5.144,29,19,44.631,5.082,8,19,44.631,5.082,8,19,45.097,5.144,29,19,45.097,5.144,29,19,44.631,5.082,8,19,45.097,5.144,29
wiqer-ef-redis,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0
wz2cool-mybatis-dynamic-query,42,25.842,1.96,7,42,25.735,1.953,7,42,25.95,1.964,7,42,26.897,1.963,7,42,25.91,1.955,7,42,25.854,1.948,7,42,25.95,1.964,7,42,25.854,1.948,7
