project,javamop-all-specs,emop,imop,ekstazi,codecov,,# of SHA,USING,reduced safe,emop safe,imop safe,ekstazi safe,codecov safe
AAA-AA-basic-tools,n/a,n/a,n/a,n/a,n/a,,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
JetBrains-jetCheck,n/a,n/a,n/a,n/a,n/a,,50,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
StarlangSoftware-TurkishDeasciifier,n/a,n/a,n/a,n/a,n/a,,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
StarlangSoftware-TurkishPropBank,n/a,n/a,n/a,n/a,n/a,,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
StarlangSoftware-TurkishSentiNet,n/a,n/a,n/a,n/a,n/a,,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
agarciadom-xeger,n/a,n/a,n/a,n/a,n/a,,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
albfernandez-javadbf,2,2,2,2,n/a,,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
almondtools-stringsearchalgorithms,10,10,10,2,10,,38,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
almson-almson-refcount,n/a,n/a,n/a,n/a,n/a,,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
apache-xmlgraphics-commons,n/a,n/a,n/a,8,2,,39,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
codelion-gramtest,n/a,n/a,n/a,n/a,n/a,,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
danieldk-dictomaton,n/a,n/a,n/a,3,2,,6,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
danielflower-maven-gitlog-plugin,5,5,5,2,5,,25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
davidmoten-rtree2,11,n/a,n/a,2,2,,10,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
davidmoten-rxjava2-aws,n/a,n/a,n/a,n/a,n/a,,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
f4b6a3-uuid-creator,n/a,n/a,n/a,n/a,n/a,,33,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
flipkart-incubator-databuilderframework,2,2,2,2,2,,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
fusion-jena-JaroWinklerSimilarity,5,5,5,5,2,,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
hazelcast-hazelcast-aws,n/a,n/a,n/a,n/a,n/a,,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
huaban-jieba-analysis,n/a,n/a,n/a,n/a,n/a,,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
indeedeng-vowpal-wabbit-java,n/a,n/a,n/a,n/a,n/a,,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
jenkins-infra-update-center2,n/a,n/a,n/a,n/a,2,,14,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
loadtest4j-loadtest4j,n/a,n/a,n/a,n/a,n/a,,9,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
mocnik-science-geogrid,n/a,n/a,n/a,n/a,n/a,,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
mojohaus-aspectj-maven-plugin,n/a,n/a,n/a,2,2,,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
myui-btree4j,n/a,n/a,n/a,n/a,n/a,,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
nRo-DataFrame,2,2,2,2,2,,50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
sangupta-bloomfilter,n/a,n/a,n/a,n/a,n/a,,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
sbesada-java.math.expression.parser,n/a,n/a,n/a,n/a,n/a,,5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
solita-functional-utils,n/a,n/a,n/a,2,n/a,,21,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
spotify-trickle,n/a,n/a,n/a,2,2,,7,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
sstrickx-yahoofinance-api,n/a,n/a,n/a,n/a,n/a,,17,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
sylvainlaurent-swagger-validator-maven-plugin,n/a,n/a,n/a,2,n/a,,3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
wiqer-ef-redis,n/a,n/a,n/a,n/a,n/a,,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE